"nazwa","ekran","pamiec_RAM","dysk","cena","liczba_opinii","ocena","status_opinie"
"MacBook Air M1",13.3,8,256,4499,60,"5","50-100 opinii"
"MacBook Air M1",13.3,16,256,5899,104,"5","wiecej niz 100 opinii"
"MacBook Air M1",13.3,8,256,4999,34,"4.5","mniej 50 opinii"
"MacBook Air M2",13.6,8,256,6999,13,"3","mniej 50 opinii"
"MacBook Air M1",13.3,16,256,6299,34,"4","mniej 50 opinii"
"MacBook Pro M2",13.3,8,256,7299,7,"4","mniej 50 opinii"
"MacBook Air M1",13.3,8,256,4999,43,"3.5","mniej 50 opinii"
"MacBook Air M2",13.6,8,256,6799,13,"5","mniej 50 opinii"
"MacBook Air M2",13.6,16,256,7199,5,"5","mniej 50 opinii"
"MacBook Pro 2023",14.2,16,512,11999,1,"4.5","mniej 50 opinii"
"MacBook Air M2",13.6,8,256,6999,13,"4","mniej 50 opinii"
"MacBook Pro 2023",16.2,32,1024,20999,0,"0","nie ma"
"MacBook Air M2",13.6,16,256,7899,5,"2","mniej 50 opinii"
"MacBook Air M2",13.6,8,256,6749,13,"3.5","mniej 50 opinii"
"MacBook Air M1",13.3,8,256,4699,99,"4.5","50-100 opinii"
